,LotArea,Street,LotShape,HouseStyle,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Foundation,CentralAir,Electrical,Functional,Fireplaces,YrSold,SaleType,SaleCondition,SalePrice
39,6040,Pave,Reg,1Story,1955,1955,Gable,CompShg,PConc,N,FuseP,Typ,0,2008,WD,AdjLand,82000
40,8658,Pave,Reg,1Story,1965,1965,Gable,CompShg,CBlock,Y,SBrkr,Typ,1,2006,WD,Abnorml,160000
41,16905,Pave,Reg,1Story,1959,1959,Gable,CompShg,CBlock,Y,SBrkr,Typ,2,2007,WD,Normal,170000
42,9180,Pave,IR1,SFoyer,1983,1983,Gable,CompShg,CBlock,Y,SBrkr,Typ,0,2007,WD,Normal,144000
43,9200,Pave,IR1,1Story,1975,1980,Hip,CompShg,CBlock,Y,SBrkr,Typ,0,2008,WD,Normal,130250
44,7945,Pave,Reg,1Story,1959,1959,Gable,CompShg,CBlock,Y,FuseA,Typ,0,2006,WD,Normal,141000
45,7658,Pave,Reg,1Story,2005,2005,Hip,CompShg,PConc,Y,SBrkr,Typ,1,2010,WD,Normal,319900
46,12822,Pave,IR1,1.5Fin,2003,2003,Gable,CompShg,PConc,Y,SBrkr,Typ,1,2009,WD,Abnorml,239686
47,11096,Pave,Reg,1Story,2006,2006,Gable,CompShg,PConc,Y,SBrkr,Typ,0,2007,WD,Normal,249700
48,4456,Pave,Reg,2Story,1920,2008,Gable,CompShg,BrkTil,Y,SBrkr,Typ,0,2009,New,Partial,113000
49,7742,Pave,Reg,1Story,1966,1966,Gable,CompShg,CBlock,Y,SBrkr,Typ,0,2007,WD,Normal,127000
50,13869,Pave,IR2,2Story,1997,1997,Gable,CompShg,PConc,Y,SBrkr,Typ,0,2007,WD,Normal,177000
51,6240,Pave,Reg,1.5Fin,1934,1950,Gable,CompShg,PConc,Y,SBrkr,Typ,1,2006,WD,Normal,114500
52,8472,Grvl,IR2,1Story,1963,1963,Gable,CompShg,CBlock,N,SBrkr,Typ,0,2010,WD,Normal,110000
53,50271,Pave,IR1,1Story,1981,1987,Gable,WdShngl,CBlock,Y,SBrkr,Typ,1,2006,WD,Normal,385000
54,7134,Pave,Reg,SLvl,1955,1955,Gable,CompShg,CBlock,Y,SBrkr,Min1,1,2007,WD,Normal,130000
55,10175,Pave,IR1,1Story,1964,1964,Gable,CompShg,CBlock,Y,SBrkr,Typ,1,2008,WD,Normal,180500
56,2645,Pave,Reg,2Story,1999,2000,Gable,CompShg,PConc,Y,SBrkr,Typ,0,2009,WD,Abnorml,172500
57,11645,Pave,IR1,2Story,2004,2004,Gable,CompShg,PConc,Y,SBrkr,Typ,0,2006,WD,Normal,196500
58,13682,Pave,IR2,2Story,2006,2006,Hip,CompShg,PConc,Y,SBrkr,Typ,1,2006,New,Partial,438780
59,7200,Pave,Reg,1Story,1972,1972,Gable,CompShg,CBlock,Y,SBrkr,Typ,0,2008,WD,Normal,124900
60,13072,Pave,Reg,1Story,2004,2004,Gable,CompShg,PConc,Y,SBrkr,Typ,0,2006,New,Partial,158000
61,7200,Pave,Reg,2.5Unf,1920,1996,Gable,CompShg,BrkTil,N,SBrkr,Typ,0,2007,WD,Normal,101000
62,6442,Pave,IR1,1Story,2006,2006,Gable,CompShg,PConc,Y,SBrkr,Typ,1,2007,WD,Normal,202500
63,10300,Pave,IR1,2Story,1921,1950,Gable,CompShg,BrkTil,Y,SBrkr,Typ,0,2010,WD,Normal,140000
64,9375,Pave,Reg,2Story,1997,1998,Gable,CompShg,PConc,Y,SBrkr,Typ,0,2009,WD,Normal,219500
65,9591,Pave,Reg,2Story,2004,2005,Gable,CompShg,PConc,Y,SBrkr,Typ,1,2007,WD,Normal,317000
66,19900,Pave,Reg,1Story,1970,1989,Gable,CompShg,CBlock,Y,SBrkr,Min1,1,2010,WD,Normal,180000
67,10665,Pave,IR1,1Story,2003,2003,Gable,CompShg,PConc,Y,SBrkr,Typ,0,2007,WD,Normal,226000
68,4608,Pave,Reg,1Story,1945,1950,Gable,CompShg,CBlock,Y,SBrkr,Typ,0,2010,WD,Normal,80000
69,15593,Pave,Reg,1.5Fin,1953,1953,Gable,CompShg,CBlock,Y,SBrkr,Typ,1,2006,WD,Normal,225000
70,13651,Pave,IR1,1Story,1973,1973,Gable,CompShg,CBlock,Y,SBrkr,Typ,2,2007,WD,Normal,244000
71,7599,Pave,Reg,1Story,1982,2006,Gable,CompShg,CBlock,Y,SBrkr,Typ,0,2007,WD,Normal,129500
72,10141,Pave,IR1,2Story,1998,1998,Gable,CompShg,PConc,Y,SBrkr,Typ,1,2009,WD,Normal,185000
73,10200,Pave,Reg,1Story,1954,2003,Gable,CompShg,CBlock,Y,SBrkr,Typ,0,2010,WD,Normal,144900
74,5790,Pave,Reg,2Story,1915,1950,Gambrel,CompShg,CBlock,N,SBrkr,Typ,0,2010,WD,Normal,107400
75,1596,Pave,Reg,SLvl,1973,1973,Gable,CompShg,CBlock,Y,SBrkr,Typ,0,2009,WD,Normal,91000
76,8475,Pave,IR1,1Story,1956,1956,Gable,CompShg,CBlock,Y,FuseA,Typ,0,2008,WD,Normal,135750
77,8635,Pave,Reg,1.5Fin,1948,2001,Gable,CompShg,CBlock,Y,SBrkr,Min1,0,2008,WD,Normal,127000
78,10778,Pave,Reg,1Story,1968,1968,Hip,CompShg,CBlock,N,SBrkr,Typ,0,2010,WD,Normal,136500
79,10440,Pave,Reg,2Story,1910,1981,Gable,CompShg,PConc,Y,SBrkr,Typ,0,2009,WD,Normal,110000
80,13000,Pave,Reg,2Story,1968,1968,Gable,CompShg,CBlock,Y,SBrkr,Typ,1,2009,WD,Normal,193500
81,4500,Pave,Reg,1Story,1998,1998,Hip,CompShg,PConc,Y,SBrkr,Typ,0,2006,WD,Normal,153500
82,10206,Pave,Reg,1Story,2007,2007,Gable,CompShg,PConc,Y,SBrkr,Typ,1,2008,WD,Normal,245000
83,8892,Pave,IR1,1Story,1960,1960,Gable,CompShg,CBlock,Y,SBrkr,Typ,0,2007,COD,Normal,126500
84,8530,Pave,IR1,SLvl,1995,1996,Gable,CompShg,PConc,Y,SBrkr,Typ,1,2009,WD,Normal,168500
85,16059,Pave,Reg,2Story,1991,1992,Hip,CompShg,CBlock,Y,SBrkr,Typ,1,2006,WD,Normal,260000
86,11911,Pave,IR2,2Story,2005,2005,Gable,CompShg,PConc,Y,SBrkr,Typ,1,2009,WD,Normal,174000
87,3951,Pave,Reg,2Story,2009,2009,Gable,CompShg,PConc,Y,SBrkr,Typ,0,2009,New,Partial,164500
88,8470,Pave,IR1,1.5Fin,1915,1982,Hip,CompShg,CBlock,N,SBrkr,Typ,0,2009,ConLD,Abnorml,85000
89,8070,Pave,Reg,1Story,1994,1995,Gable,CompShg,PConc,Y,SBrkr,Typ,0,2007,WD,Normal,123600
90,7200,Pave,Reg,1Story,1950,1950,Gable,CompShg,Slab,Y,FuseA,Typ,0,2006,WD,Normal,109900
91,8500,Pave,Reg,1Story,1961,1961,Hip,CompShg,CBlock,Y,SBrkr,Typ,0,2006,WD,Abnorml,98600
92,13360,Pave,IR1,1Story,1921,2006,Gable,CompShg,BrkTil,Y,SBrkr,Typ,0,2009,WD,Normal,163500
93,7200,Pave,Reg,2.5Unf,1910,1998,Hip,CompShg,BrkTil,N,SBrkr,Typ,1,2007,WD,Normal,133900
94,9337,Pave,IR1,2Story,1997,1997,Gable,CompShg,PConc,Y,SBrkr,Typ,0,2007,WD,Normal,204750
95,9765,Pave,IR2,2Story,1993,1993,Gable,CompShg,PConc,Y,SBrkr,Typ,1,2009,WD,Normal,185000
96,10264,Pave,IR1,1Story,1999,1999,Gable,CompShg,PConc,Y,SBrkr,Typ,0,2006,WD,Normal,214000
97,10921,Pave,Reg,1Story,1965,1965,Hip,CompShg,CBlock,Y,FuseF,Typ,0,2007,WD,Normal,94750
98,10625,Pave,Reg,1Story,1920,1950,Gable,CompShg,BrkTil,N,SBrkr,Typ,0,2010,COD,Abnorml,83000
99,9320,Pave,IR1,1Story,1959,1959,Gable,CompShg,CBlock,Y,SBrkr,Typ,0,2010,WD,Normal,128950
100,10603,Pave,IR1,1Story,1977,2001,Gable,CompShg,PConc,Y,SBrkr,Typ,2,2010,WD,Normal,205000
101,9206,Pave,Reg,2Story,1985,1985,Gable,CompShg,CBlock,Y,SBrkr,Typ,1,2010,WD,Normal,178000
102,7018,Pave,Reg,1Story,1979,1979,Gable,CompShg,Slab,Y,SBrkr,Typ,0,2009,WD,Alloca,118964
103,10402,Pave,IR1,1Story,2009,2009,Gable,CompShg,PConc,Y,SBrkr,Typ,0,2010,WD,Normal,198900
104,7758,Pave,Reg,1.5Fin,1931,1950,Gable,CompShg,PConc,Y,FuseF,Typ,2,2007,WD,Normal,169500
105,9375,Pave,Reg,2Story,2003,2004,Hip,CompShg,PConc,Y,SBrkr,Typ,1,2008,WD,Normal,250000
106,10800,Pave,Reg,1Story,1885,1995,Mansard,CompShg,BrkTil,Y,SBrkr,Typ,0,2007,WD,Normal,100000
107,6000,Pave,Reg,1Story,1948,1950,Gable,CompShg,CBlock,Y,SBrkr,Typ,0,2008,WD,Partial,115000
108,8500,Pave,Reg,1.5Fin,1919,2005,Gable,CompShg,CBlock,N,FuseF,Typ,0,2007,WD,Normal,115000
109,11751,Pave,IR1,1Story,1977,1977,Hip,CompShg,CBlock,Y,SBrkr,Typ,1,2010,COD,Normal,190000
110,9525,Pave,Reg,1.5Fin,1954,1972,Gable,CompShg,CBlock,Y,SBrkr,Typ,0,2006,WD,Normal,136900
111,7750,Pave,IR1,SLvl,2000,2000,Gable,CompShg,PConc,Y,SBrkr,Typ,1,2010,WD,Normal,180000
112,9965,Pave,Reg,2Story,2007,2007,Gable,CompShg,PConc,Y,SBrkr,Typ,1,2007,New,Partial,383970
113,21000,Pave,Reg,1Story,1953,1953,Hip,CompShg,CBlock,Y,SBrkr,Typ,2,2007,COD,Abnorml,217000
114,7259,Pave,IR1,2Story,1945,2002,Gambrel,CompShg,CBlock,Y,SBrkr,Typ,1,2007,WD,Normal,259500
115,3230,Pave,Reg,2Story,1999,1999,Gable,CompShg,PConc,Y,SBrkr,Typ,1,2007,WD,Normal,176000
116,11616,Pave,Reg,1Story,1962,1962,Gable,CompShg,CBlock,Y,SBrkr,Typ,1,2009,WD,Normal,139000
117,8536,Pave,Reg,1Story,2006,2007,Gable,CompShg,PConc,Y,SBrkr,Typ,0,2007,New,Partial,155000
118,12376,Pave,Reg,2Story,1990,1990,Hip,CompShg,PConc,Y,SBrkr,Typ,2,2010,WD,Normal,320000
119,8461,Pave,Reg,2Story,2005,2006,Gable,CompShg,PConc,Y,SBrkr,Typ,1,2006,New,Partial,163990
120,21453,Pave,IR1,SLvl,1969,1969,Flat,Metal,CBlock,Y,SBrkr,Typ,2,2006,WD,Normal,180000
121,6060,Pave,Reg,1.5Fin,1939,1950,Gable,CompShg,PConc,Y,SBrkr,Typ,0,2007,WD,Normal,100000
122,9464,Pave,Reg,1Story,1958,1958,Hip,CompShg,CBlock,Y,SBrkr,Typ,0,2008,WD,Normal,136000
123,7892,Pave,Reg,1Story,1993,1993,Gable,CompShg,PConc,Y,SBrkr,Typ,0,2008,WD,Normal,153900
124,17043,Pave,IR1,1Story,1979,1998,Gable,CompShg,CBlock,Y,SBrkr,Typ,1,2009,WD,Normal,181000
125,6780,Pave,Reg,1.5Fin,1935,1982,Gable,CompShg,CBlock,N,SBrkr,Typ,0,2006,WD,Normal,84500
126,4928,Pave,IR1,1Story,1976,1976,Gable,CompShg,CBlock,Y,SBrkr,Typ,1,2007,WD,Normal,128000
127,4388,Pave,IR1,1.5Unf,1930,1950,Gable,CompShg,BrkTil,Y,SBrkr,Typ,1,2007,WD,Normal,87000
128,7590,Pave,Reg,2Story,1966,1966,Gable,CompShg,CBlock,Y,SBrkr,Typ,1,2006,WD,Normal,155000
129,8973,Pave,Reg,1Story,1958,1991,Gable,CompShg,CBlock,Y,FuseA,Typ,0,2006,WD,Abnorml,150000
130,14200,Pave,Reg,2Story,1966,1966,Gable,CompShg,CBlock,Y,SBrkr,Typ,2,2006,WD,Normal,226000
131,12224,Pave,IR1,2Story,2000,2000,Gable,CompShg,PConc,Y,SBrkr,Typ,1,2009,WD,Normal,244000
132,7388,Pave,Reg,1Story,1959,2002,Gable,CompShg,CBlock,Y,SBrkr,Typ,0,2007,WD,Normal,150750
133,6853,Pave,IR1,1Story,2001,2002,Gable,CompShg,PConc,Y,SBrkr,Typ,0,2009,WD,Normal,220000
134,10335,Pave,IR1,1Story,1968,1993,Gable,CompShg,CBlock,Y,SBrkr,Min1,1,2006,WD,Normal,180000
135,10400,Pave,Reg,1Story,1970,1970,Hip,CompShg,PConc,Y,SBrkr,Typ,1,2008,WD,Normal,174000
136,10355,Pave,IR1,1Story,1967,1967,Gable,CompShg,CBlock,Y,SBrkr,Typ,1,2007,WD,Normal,143000
137,11070,Pave,Reg,1Story,1988,1989,Gable,CompShg,CBlock,Y,SBrkr,Typ,0,2006,WD,Family,171000
138,9066,Pave,IR1,2Story,1999,2000,Gable,CompShg,PConc,Y,SBrkr,Typ,2,2008,WD,Normal,230000
139,15426,Pave,IR1,2Story,1997,1997,Gable,CompShg,PConc,Y,SBrkr,Typ,0,2009,WD,Normal,231500
140,10500,Pave,Reg,1Story,1971,1971,Gable,CompShg,CBlock,Y,SBrkr,Typ,1,2010,ConLI,Normal,115000
141,11645,Pave,Reg,1Story,2005,2005,Gable,CompShg,PConc,Y,SBrkr,Typ,0,2006,WD,Normal,260000
142,8520,Pave,Reg,1.5Fin,1952,1952,Gable,CompShg,CBlock,Y,SBrkr,Typ,0,2010,WD,Normal,166000
143,10335,Pave,IR1,1Story,1999,1999,Gable,CompShg,PConc,Y,SBrkr,Typ,0,2009,WD,Normal,204000
144,9100,Pave,Reg,1Story,1963,1963,Gable,CompShg,CBlock,Y,SBrkr,Typ,0,2006,ConLI,Abnorml,125000
145,2522,Pave,Reg,2Story,2004,2006,Gable,CompShg,PConc,Y,SBrkr,Maj1,0,2006,WD,Normal,130000
146,6120,Pave,Reg,1Story,1931,1993,Gable,CompShg,BrkTil,Y,FuseA,Typ,0,2009,WD,Normal,105000
147,9505,Pave,IR1,2Story,2001,2001,Gable,CompShg,PConc,Y,SBrkr,Typ,1,2010,WD,Normal,222500
148,7500,Pave,Reg,1Story,2004,2005,Gable,CompShg,PConc,Y,SBrkr,Typ,0,2008,WD,Normal,141000
149,6240,Pave,Reg,1.5Fin,1936,1950,Gable,CompShg,BrkTil,Y,FuseA,Typ,0,2006,WD,Normal,115000
150,10356,Pave,Reg,1Story,1975,1975,Gable,CompShg,CBlock,Y,SBrkr,Typ,0,2007,WD,Normal,122000
151,13891,Pave,Reg,1Story,2007,2008,Hip,CompShg,PConc,Y,SBrkr,Typ,1,2008,New,Partial,372402
152,14803,Pave,IR1,2Story,1971,1971,Gable,CompShg,CBlock,Y,SBrkr,Typ,1,2006,WD,Normal,190000
153,13500,Pave,Reg,1Story,1960,1975,Flat,CompShg,CBlock,Y,SBrkr,Typ,1,2008,WD,Normal,235000
154,11340,Pave,Reg,1Story,1923,1950,Gable,CompShg,BrkTil,Y,FuseA,Typ,0,2006,WD,Family,125000
155,9600,Pave,Reg,1.5Fin,1924,1950,Gable,CompShg,BrkTil,N,FuseF,Typ,0,2008,WD,Normal,79000
156,7200,Pave,Reg,1Story,1950,1950,Hip,CompShg,CBlock,Y,FuseF,Typ,0,2006,WD,Normal,109500
157,12003,Pave,Reg,2Story,2009,2010,Gable,CompShg,PConc,Y,SBrkr,Typ,1,2010,New,Partial,269500
158,12552,Pave,Reg,2Story,2004,2005,Gable,CompShg,PConc,Y,SBrkr,Typ,1,2010,WD,Normal,254900
159,19378,Pave,IR1,2Story,2005,2006,Gable,CompShg,PConc,Y,SBrkr,Typ,1,2006,New,Partial,320000
160,11120,Pave,IR1,1Story,1984,1984,Gable,CompShg,PConc,Y,SBrkr,Typ,0,2008,WD,Normal,162500
161,13688,Pave,IR1,2Story,2003,2004,Gable,CompShg,PConc,Y,SBrkr,Typ,2,2008,WD,Normal,412500
162,12182,Pave,Reg,1Story,2005,2005,Gable,CompShg,PConc,Y,SBrkr,Typ,1,2010,New,Partial,220000
163,5500,Pave,Reg,1.5Unf,1956,1956,Gable,CompShg,CBlock,Y,SBrkr,Typ,0,2007,WD,Normal,103200
164,5400,Pave,Reg,1Story,1926,2004,Gable,CompShg,BrkTil,Y,FuseA,Typ,0,2007,WD,Normal,152000
165,10106,Pave,Reg,1.5Fin,1940,1999,Gable,CompShg,BrkTil,Y,SBrkr,Typ,0,2008,WD,Normal,127500
166,10708,Pave,IR1,1Story,1955,1993,Hip,CompShg,CBlock,Y,FuseA,Typ,3,2009,COD,Normal,190000
167,10562,Pave,Reg,2Story,2007,2007,Gable,CompShg,PConc,Y,SBrkr,Typ,1,2007,New,Partial,325624
168,8244,Pave,IR1,2Story,2004,2004,Gable,CompShg,PConc,Y,SBrkr,Typ,1,2007,WD,Normal,183500
169,16669,Pave,IR1,1Story,1981,1981,Hip,WdShake,CBlock,Y,SBrkr,Typ,1,2006,WD,Normal,228000
170,12358,Pave,IR1,1.5Fin,1941,1950,Gable,CompShg,CBlock,Y,SBrkr,Typ,0,2007,WD,Normal,128500
171,31770,Pave,IR1,1Story,1960,1960,Hip,CompShg,CBlock,Y,SBrkr,Typ,2,2010,WD,Normal,215000
172,5306,Pave,IR1,2Story,1987,1987,Gable,CompShg,PConc,Y,SBrkr,Typ,1,2006,WD,Normal,239000
173,10197,Pave,IR1,1Story,1961,1961,Gable,CompShg,CBlock,Y,SBrkr,Typ,1,2008,COD,Normal,163000
174,12416,Pave,IR1,1Story,1986,1986,Gable,CompShg,CBlock,Y,SBrkr,Min2,1,2008,WD,Normal,184000
175,12615,Pave,Reg,1Story,1950,2001,Gable,CompShg,CBlock,Y,SBrkr,Typ,1,2007,WD,Normal,243000
176,10029,Pave,IR1,2Story,1988,1989,Gable,CompShg,PConc,Y,SBrkr,Typ,1,2007,WD,Normal,211000
177,13650,Pave,Reg,1.5Fin,1958,1958,Gable,CompShg,CBlock,Y,SBrkr,Typ,1,2006,WD,Normal,172500
178,17423,Pave,IR1,1Story,2008,2009,Hip,CompShg,PConc,Y,SBrkr,Typ,1,2009,New,Partial,501837
179,8520,Pave,Reg,1Story,1923,2006,Gable,CompShg,CBlock,Y,SBrkr,Typ,0,2007,WD,Normal,100000
180,2117,Pave,Reg,2Story,2000,2000,Gable,CompShg,PConc,Y,SBrkr,Typ,1,2007,WD,Normal,177000
181,7588,Pave,Reg,2Story,1920,1950,Gable,CompShg,BrkTil,Y,SBrkr,Typ,1,2006,WD,Normal,200100
182,9060,Pave,Reg,1Story,1957,2006,Hip,CompShg,PConc,Y,SBrkr,Typ,1,2007,WD,Normal,120000
183,11426,Pave,Reg,1.5Fin,2003,2003,Gable,CompShg,PConc,Y,SBrkr,Mod,0,2008,WD,Normal,200000
184,7438,Pave,IR1,1.5Fin,1908,1991,Gable,CompShg,PConc,Y,SBrkr,Typ,0,2006,WD,Normal,127000
185,22950,Pave,IR2,2.5Fin,1892,1993,Gable,WdShngl,BrkTil,Y,SBrkr,Typ,2,2006,WD,Normal,475000
186,9947,Pave,IR1,SLvl,1990,1991,Gable,CompShg,PConc,Y,SBrkr,Typ,0,2009,WD,Normal,173000
187,10410,Pave,Reg,1.5Fin,1916,1987,Gable,CompShg,CBlock,Y,SBrkr,Min2,0,2009,WD,Normal,135000
188,7018,Pave,Reg,SFoyer,1979,1979,Gable,CompShg,CBlock,Y,SBrkr,Typ,2,2009,WD,Alloca,153337
189,4923,Pave,Reg,1Story,2001,2002,Gable,CompShg,PConc,Y,SBrkr,Typ,1,2008,WD,Normal,286000
190,10570,Pave,Reg,2Story,1932,1994,Hip,CompShg,CBlock,Y,SBrkr,Maj1,2,2007,WD,Normal,315000
191,7472,Pave,IR1,2Story,1972,2004,Gable,CompShg,CBlock,Y,SBrkr,Typ,0,2007,WD,Normal,184000
192,9017,Pave,IR1,1Story,1999,1999,Gable,CompShg,PConc,Y,SBrkr,Typ,0,2009,WD,Normal,192000
193,2522,Pave,Reg,2Story,2004,2004,Gable,CompShg,PConc,Y,SBrkr,Maj1,0,2006,WD,Normal,130000
194,7180,Pave,IR1,1Story,1972,1972,Hip,CompShg,CBlock,Y,SBrkr,Typ,0,2008,WD,Normal,127000
195,2280,Pave,Reg,2Story,1976,1976,Gable,CompShg,CBlock,Y,SBrkr,Typ,1,2009,WD,Normal,148500
196,9416,Pave,Reg,1Story,2007,2007,Hip,CompShg,PConc,Y,SBrkr,Typ,1,2007,New,Partial,311872
197,25419,Pave,Reg,2Story,1918,1990,Gable,CompShg,PConc,Y,SBrkr,Typ,1,2006,WD,Abnorml,235000
198,5520,Pave,Reg,2.5Fin,1912,1950,Gable,CompShg,CBlock,Y,SBrkr,Typ,0,2009,WD,Abnorml,104000
199,9591,Pave,Reg,1Story,2004,2005,Hip,CompShg,PConc,Y,SBrkr,Typ,1,2009,WD,Normal,274900
200,8546,Pave,Reg,1Story,2003,2004,Gable,CompShg,PConc,Y,SBrkr,Typ,0,2010,WD,Normal,140000
201,10125,Pave,Reg,1Story,1977,1977,Gable,CompShg,CBlock,Y,SBrkr,Typ,2,2008,WD,Normal,171500
202,7000,Pave,Reg,1.5Fin,1924,1950,Gable,CompShg,BrkTil,Y,SBrkr,Min1,0,2006,COD,Normal,112000
203,4438,Pave,Reg,1Story,2004,2004,Gable,CompShg,PConc,Y,SBrkr,Typ,1,2008,WD,Normal,149000
204,3500,Pave,Reg,1.5Fin,1947,1950,Gable,CompShg,CBlock,Y,SBrkr,Typ,0,2009,WD,Normal,110000
205,11851,Pave,Reg,1Story,1990,1990,Gable,CompShg,PConc,Y,SBrkr,Typ,0,2009,WD,Normal,180500
206,13673,Pave,IR1,1Story,1962,1962,Gable,CompShg,CBlock,Y,SBrkr,Min2,1,2007,WD,Normal,143900
207,12493,Pave,IR1,1Story,1960,1960,Gable,CompShg,PConc,Y,SBrkr,Typ,1,2008,WD,Normal,141000
208,14364,Pave,IR1,2Story,1988,1989,Gable,CompShg,CBlock,Y,SBrkr,Typ,1,2007,WD,Normal,277000
209,8250,Pave,Reg,1Story,1964,1964,Hip,CompShg,CBlock,Y,SBrkr,Typ,0,2008,WD,Normal,145000
210,5604,Pave,Reg,1Story,1925,1950,Gable,CompShg,CBlock,N,FuseA,Typ,0,2008,WD,Normal,98000
